salon,category
1,1
1,4
1,14
2,14
3,10
4,13
4,4
4,5
4,14
5,2
5,6
5,9
5,4
6,8
6,3
6,7
7,2
8,6
9,13
9,10
9,4
10,11
10,8
10,15
11,11
12,2
12,1
12,10
12,4
13,2
13,13
13,10
13,4
14,2
14,10
15,5
16,12
17,11
17,6
17,9
17,13
17,10
17,16
17,4
17,3
17,7
17,5
18,6
